review,type
"Excelente producto, funciona como dice, muy fácil y divertido regular la intensidad y los colores, ideal para ambientar. Funciona en cualquier portalámparas tradicional y tiene muchos modos para interactuar. Tiene su propia app de celu pero también es compatible con google home y otros programillas que si son techies se las van a arreglar y divertirse con las posibilidades. No sólo se configura desde la app sino que se la puede configurar para que propio switch de luz cambie el tipo de luz dependiendo si lo prendemos y apagamos lento o rápido a la homero. Duro, duro, duro!. Lo único negativo es que es un poco difícil de configurar al principio si se encapricha con no ser detectada, pero nada que no se pueda arreglar con paciencia y siguiendo las instrucciones. Recomendada!",1
"Luz blanca/calida de 10, bastante precisa e intensa (regulable). Lo unico que no me encanto fue que al activar los colores rgb la intensidad de la luz baja considerablemente. En mi caso solo uso rgb de noche por lo que no me molesta que cambie la intensidad (si es tu caso, no te hagas drama). La app es una maravilla, mucho mejor que la que ofrecen algunas alternativas como smart life, tienen un monton de modos y funciones, mientras mas lamparas compres, mas aprovechas las features de la app. Siendo programador me parece muy bueno el trabajo que se tomo wiz en este aspecto. Claramente superior a las lamparas rgb que usan control. Alta fidelidad de colores. Muy recomendada salvando lo de la intensidad rgb",1
"La lampara no funciona. No reco oce el wifi la aplicación y mi wifi anda perfecto. Solo enciende desde la tecla como cualquieenlámpara común",-1
"Excelente calidad y prestaciones del producto. Se configura fácil siguiendo los pasos de la aplicación y la operación es muy intuitiva. Es perfecta para ambientar con solo uno o dos artefactos. Memoriza la última configuración para no tener que ajustarla con cada encendido y tiene varios seteos favoritos para cambiar rápido de uno a otro. Solo lo probé con android, pero la aplicación da la opción de usar cualquiera de los sistemas que menciona. Permite controlar a distancia sin estar en la misma wifi. La recomiendo",1
"Demasiado frágil para el peso del teléfono, tenía un g7 play antes que este. Tuvo como 10 caídas y nunca se rompió. Este teléfono primer día de uso se cae desde 1/2 mts aprox y ya se trizo la pantalla. Mala calidad de materiales",-1
"Este celu es genial ya me lo había comprado para mí y ahora le compré uno a mí señora",1
"En lineas generales, estoy muy contento con el equipo. Lo compré para reemplazar mi viejo iphone 6, hace dos semanas lo estoy usando y la bateria tiene un muy buen rendimiento. La velocidad en la que procesa datos es excelente y la capacidad de almacenamiento es amplia. La carga de la bateria, se realiza en un ratito , gracias al cargador que trae. Lo único que tengo para cuestionar es el tamaño de la pantalla (gigante comparada con el equipo del que vengo). Y con el valor que tiene el fabricante podría incluir unos auriculares bluethoot con cable al menos",1
"Lo quería para poder reproducir y guardar música debido a su memoria y velocidad. Es lento. Quiero duplicar pantalla en mi dispositivo y de fabrica no lo permite, hay que bootearlo y descargar una aplicación. No estoy conforme",-1
"Malisimo se rompe solo. Muy mala calidad no dura nada. No tire su dinero. No sirve",-1
"Tiene problemas con las llamadas. No me escuchan cuando les hablo",-1
"Se terminan deformando en el segundo lavado. El primero lo pasaron y dije apa, por fin una remera buena, pero no",-1
"Son remeras de corte recto, no slim fit. Las medidas proporcionadas son exactas. La calidad parece ser muy buena. Para mi grata sorpresa el algodón es más grueso de lo que esperaba (pensé que iba a ser finito y de baja calidad). Tal vez lo único a criticar sería el cuello que no es tan estético, pero es sólo un detalle que no modifica para nada mi opinión general -sobretodo por ser una remera básica genérica-. Volveré a comprar. Recomiendo 100%",1
"Muy mala calidad!. Parece usado, tiene rayones. La verdad ni 500$ pagaría por este producto, me gustaría gestionar la devolución. Simplemente horrible",-1
"El precio no es malo, pero la funda no calza bien para el modelo de celular que tengo",-1
"Para el precio pense que era algo de mas calidad. Deja mucho que desear",-1
"Buena relacion precio calidad! la funda cubre bien el telefono y no es aparatosa. Un poco endeble en los bordes, pero tiene las esquinas elevadas que te separan la camara o la pantalla de la superficie donde apoyes el celu. El vidrio bien, queda perfecto! recomendable si no queres gastar mucho en el combo",1
"Económica y util. Cumple su finalidad. Lo que no conozco es su durabilidad ya que antes tuve una del mismo tipo y a los pocos mese se despegó la placa trasera del marco que envuelve el celular",1
"Excelente textura de la funda, la proteje bien y no permite que se raye ninguna parte del cel. (en mi caso el 11) ademas es de facil colocacion. Excelente compra. Gracias!",1
"El producto es muy bueno en líneas generales. No se siente cuando va arriba del techo por más cargado que esté. Es super amplio y no le entra nada de agua. La colocación es sencilla",1
"Es exactamente como se observa en la foto. Todavía no lo puse en uso, pero se ve de buena terminación, y material resistente",1
"Es bueno, tal cual la imagen",1
"En la página aparece el equipo con lectora de cd. Cosa que al llegarme lo q compre no lo tenia. Por el resto está bien. Tengo otra note core ir 7 generación y responde mucho más rápida. La verdad que por lo que pague nones lo que esperaba. Última vez que compro aca",-1
"Estuve todo agosto y septiembre ejecutando correcciones que me envia dell para corregir: congelamiento de pantalla, porblemas con el rígido. Reinstalaciones permanentes",-1
"Malo no la compren, ojo con dell da vueltas con me servico técnico. Viene mal el disco",-1
"Es una máquina buena y rápida; anteriormente tenía una laptop hp i7 con 12 gb de ram y placa geforce, comprada hace 5 años, y obviamente la dell es mas rápida (por los 32 gb de ram) en el procesamiento de páginas web y en el inicio (por el disco ssd, aunque a decir verdad esperaba mayor velocidad en la apertura de los programas), pero en cuanto a la placa gráfica la hp que tenia es superior, se nota mucho en los juegos, o sea que es ultragamer a medias. , pero estoy muy conforme para el trabajo que realizo donde utilizo internet a full, mucho manejo de office, programas como camtasia para grabación, y para impartir clases on line, puedo tener abiertas mas de 20 pestañas en chrome mas los programas de trabajo y se la rebanca, por eso le puse 4 estrellas y no cinco, así que me parece un muy buen producto y buen precio, teniendo en cuenta los precios que están pidiendo en el mercado por laptops con las mismas características",1
"Buena terminación, pero muy plástica, si le pones un dedo en la tapa cerrada la misma se hunde un poco (es delicadita). No es lo premium que esperaba de un equipo de estas características de dell en cuando a la carcasa. Ya que no es lo mismo que otros equipos de la marca que he tenido antes. En cuando a capacidad es excelente, muy practico el teclado retroiluminado, otro punto malo es que no tiene ningún indicador de encendido, calienta un poco la base al estar trabajando bastante pero no tanto como otros modelos anterior, las teclas de función tienen las leyendas chiquitas. Muy linda la pantalla y de la tarjeta de video, muy lindos colores. . La calificaría de modesta con un buen corazón",1
"No funciona bien. Mala calidad",-1
"Para el momento que atraviesa el país poder escuchar vinilos en un equipo ágil, ameno , decorativo y con buen rendimiento ( hasta el momento) , fácil de adaptarle un edifier amplificador y 2 parlantes es todo un logro. La ecualización del sonido quedará para otra oportunidad. Muy bueno",1
"El coche tiene buen andar, una capota mucho más grande que las versiones anteriores y es cómodo. Lo único malo es que no tiene barral y es complicado para cerrar con una mano porque hay que plegarlo hacia el piso, y con el bebé en brazos se complica",1
"Me sorprendió que no tiene un respaldo firme. Yo pensaba que como se hacía moisés tendría un respaldo más rígido y es solo la tela como si fuera un paragüitas, tampoco podrías sacar el moisés y ponerlo sobre la mesa porque se baja. No tiene un soporte con estructura de moisés, es como un catre, sólo tela. Igual es muy lindo, me encantaron los colores y es súper adaptable a todo. Se pueden sacar las ruedas si no entra en el baúl del auto y es re liviano. Fácil de armar y desarmar",1
"Malisima la calidad del coche. Ni 2 meses de uso duro. Se le salio una de las ruedas grandes. Lo peor es que te das cuenta de los materiales con los cuales esta hecho y te pones a pensar que ahi arriba tenias a tu bebe",-1
"No me gustó mi bebé tiene 10 meses y hace un mes que compre y ya se rompió los dos lados no le aguanta es muy frágil y mi bebé pesa 9k. Es lindo es bueno pero no le aguanto pensé que tenía cochecito para rato",-1
"En principio me había encantado , venía todo perfecto. Lo vengo usando hace un mes y se me rompió una rueda. No es que se salió por el encastre , se rompió directamente. No puede durar 1 mes nada más. Ojalá me puedan dar una respuesta favorable",-1